Wiktionary Grammar Audit
Total: 3640 | Mismatches: 1210 | Not in Wiktionary: 80
======================================================================

der April | plural: 'die April' → 'die Aprile'
die Artenschutz | article: 'die' → 'der'
die Artenschutz | plural: 'die Naturschutzarten' → 'kein Plural'
der Aufschnitt | plural: 'die Aufschnitte' → 'kein Plural'
das Backpulver | plural: 'kein Plural' → 'die Backpulver'
die Bank | plural: 'die Banken' → 'die Bänke'
die Baumwolle | plural: 'kein Plural' → 'die Baumwollen'
das Benzin | plural: 'kein Plural' → 'die Benzine'
die Biologie | plural: 'die Biologien' → 'kein Plural'
das Blockchain | article: 'das' → 'die'
das Bogenschießen | plural: 'kein Plural' → 'die Bogenschießen'
die Chemie | plural: 'kein Plural' → 'die Chemien'
die Dialektik | plural: 'die Dialektiken' → 'kein Plural'
die DNA | plural: 'die DNA' → 'kein Plural'
der Dramatiker | plural: 'die Dramatikerinnen' → 'die Dramatiker'
die Ehrlichkeit | plural: 'die Ehrlichkeiten' → 'kein Plural'
der Elektriker | plural: 'die Elektrikerinnen' → 'die Elektriker'
der Epilog | plural: 'die Epilogs' → 'die Epiloge'
die Epistemologie | plural: 'die Epistemologien' → 'kein Plural'
das Erbrecht | plural: 'die Erbschaften' → 'die Erbrechte'
die Literatur | plural: 'die Literatur' → 'die Literaturen'
das Lob | plural: 'kein Plural' → 'die Lobe'
der Mai | plural: 'die Mais' → 'die Maie'
die Meinungsfreiheit | plural: 'kein Plural' → 'die Meinungsfreiheiten'
die Meteorologie | plural: 'die Meteorologien' → 'kein Plural'
das Mitgefühl | plural: 'die Mitgefühle' → 'kein Plural'
die Mitte | plural: 'die Mitte' → 'die Mitten'
die Morphologie | plural: 'die Morphologien' → 'kein Plural'
die Musik | plural: 'die Musik' → 'die Musiken'
die Nagellack | article: 'die' → 'der'
die Natur | plural: 'kein Plural' → 'die Naturen'
das Neujahr | plural: 'die Neujahre' → 'kein Plural'
die Obdachlosigkeit | plural: 'kein Plural' → 'die Obdachlosigkeiten'
der Optiker | plural: 'die Optikerinnen' → 'die Optiker'
der Permafrost | plural: 'kein Plural' → 'die Permafröste'
die Phonetik | plural: 'die Phonetiken' → 'kein Plural'
der Photovoltaik | article: 'der' → 'die'
der Photovoltaik | plural: 'die Photovoltaik' → 'kein Plural'
die Politik | plural: 'kein Plural' → 'die Politiken'
die Polizei | plural: 'kein Plural' → 'die Polizeien'
die Post | plural: 'kein Plural' → 'die Posten'
die Pragmatik | plural: 'die Pragmatikken' → 'die Pragmatiken'
das Prozent | plural: 'die Prozent' → 'die Prozente'
das Recycling | plural: 'kein Plural' → 'die Recyclings'
der Rentner | plural: 'die Rentnerinnen' → 'die Rentner'
die Ruhe | plural: 'die Ruhe' → 'kein Plural'
der Rückbau | plural: 'die Rückbauten' → 'kein Plural'
die Sahne | plural: 'die Sahnen' → 'kein Plural'
das Saxofon | plural: 'die Saxophone' → 'die Saxofone'
das Schießen | plural: 'kein Plural' → 'die Schießen'
das Schild | article: 'das' → 'der'
das Schild | plural: 'die Schilder' → 'die Schilde'
der Schnupfen | article: 'der' → 'das'
der Schnupfen | plural: 'die Schnupfen' → 'kein Plural'
die Schwerelosigkeit | plural: 'kein Plural' → 'die Schwerelosigkeiten'
die Schwerkraft | plural: 'kein Plural' → 'die Schwerkräfte'
der Fremde | article: 'der' → 'die'
der Fremde | plural: 'die Fremden' → 'kein Plural'
der Frieden | plural: 'kein Plural' → 'die Frieden'
der Senf | plural: 'kein Plural' → 'die Senfe'
das Silber | plural: 'die Silber' → 'kein Plural'
