LLM Grammar Audit — gemma2:9b
Total: 3640 | Errors: 384 | API errors: 1
================================================================================

vergessen | perfekt_ich: 'vergessen' → 'vergessen' | Partizip II for 'vergessen' is 'vergessen', not 'vergessenen'.
verlassen | perfekt_ich: 'verlassen' → 'verlassen' | The Partizip II of 'verlassen' is 'verlassen', not 'verlass'.
unterbrechen | du: 'unterbrauchst' → 'unterbricht' | Separable verbs split the prefix in conjugated forms.
schneien | ich: 'schneie' → 'schneien' | Incorrect present tense conjugation for 'ich'.
wehen | perfekt_ich: 'geweht' → 'gewehen' | Incorrect Partizip II for 'wehen'
empfangen | perfekt_ich: 'empfangen' → 'er empfangen' | Partizip II for regular verbs is ge- + stem + -t
verdienen | perfekt_ich: 'verdients' → 'verdient' | Partizip II of regular verbs is ge- + stem + -t
sich langweilen | perfekt_ich: 'mich langweiled' → 'habe mich langweilen' | Incorrect Partizip II for separable verbs. It should be 'ge- + prefix + stem'
untersuchen | perfekt_ich: 'untersucht' → 'untersucht' | Partizip II of separable verbs has the prefix moved to the end: untersucht
erfinden | du: 'erfundenst' → 'erfindest' | Incorrect conjugation for du. It should be 'erfindest'.
beantworten | perfekt_ich: 'beantwortet' → 'beantwortet' | Partizip II for separable verbs is 'aufgemacht', not 'beantwortet'
benutzen | perfekt_ich: 'benutzt' → 'benutzt' | The Partizip II of benutzen is benutzt, not benutz.
erlauben | perfekt_ich: 'erlaubt' → 'erlaubt' | Partizip II of 'erlauben' is 'erlaubt'
gefallen | ich: 'gefalle' → 'gefalle' | Incorrect conjugation for 'ich'. It should be 'gefalle'.
gefallen | du: 'gefallst' → 'fällt' | Incorrect conjugation for 'du'. It should be 'fällt'.
gefallen | er/sie/es: 'gefallen' → 'fällt' | Incorrect conjugation for 'er/sie/es'. It should be 'fällt'.
gefallen | wir: 'gefallen' → 'fallen' | Incorrect conjugation for 'wir'. It should be 'fallen'.
gefallen | ihr: 'gefallt' → 'fällt' | Incorrect conjugation for 'ihr'. It should be 'fällt'.
gefallen | Sie: 'gefallen' → 'fallen' | Incorrect conjugation for 'Sie'. It should be 'fallen'.
genügen | perfekt_ich: 'genügt' → 'genug' | Partizip II of 'genügen' is 'genugt'
geschehen | ich: 'geschehe' → 'geschieht' | Strong verb, vowel change in ich
unterstützen | perfekt_ich: 'unterstützt' → 'unterstützt' | Partizip II of -ieren verbs is  -iert, not -t
misstrauen | perfekt_ich: 'misstraut' → 'gemisstraut' | Irregular verb, use 'ge-' + stem + '-t'
entschuldigen | perfekt_ich: 'mich entschuldigt' → 'sich entschuldigt' | The reflexive pronoun 'sich' is needed in the perfect tense of 'entschuldigung'.
nicken | perfekt_ich: 'gekniect' → 'geknickt' | Incorrect Partizip II formation for nicken.
entlassen | perfekt_ich: 'entlassen' → 'entlassen' | Partizip II for inseparable prefix verbs is stem + -t
abbrechen | du: 'brauchst ab' → 'brauchst ab' | The correct conjugation for 'abbrechen' in the second person singular is 'brauchst ab'.
anbraten | ich: 'brate an' → 'bräute an' | Strong verb, vowel change in du/er
anmachen | ich: 'mache an' → 'mache an' | Separable verbs: prefix splits off in conjugated forms and moves to the END.
